step,predicted_ground_type,prob_Brick,prob_Concrete,prob_Grass,contact_time_sec,loading_rate,midstance_pressure,time_to_midstance,step_duration,stance_auc
201,Concrete,0.27,0.465,0.265,228.72,736.1111111113607,1808.0,0.0,91,5263.223999999996
202,Concrete,0.275,0.51,0.215,230.224,432.2916666665716,1715.0,0.0,91,5552.319999999995
203,Concrete,0.225,0.49,0.285,234.368,349.9999999999575,1719.0,0.0,276,16407.327999999914
204,Concrete,0.285,0.45,0.265,236.0,,1766.0,0.0,81,4575.168000000005
205,Concrete,0.32,0.43,0.25,237.216,1098.9583333333726,1813.0,0.0,75,4093.559999999986
206,Concrete,0.385,0.475,0.14,238.384,1231.2499999997153,1680.0,0.0,67,3676.5600000000477
207,Concrete,0.35,0.485,0.165,239.456,1335.9374999999723,1719.0,0.0,67,3662.928000000047
208,Concrete,0.41,0.49,0.1,240.512,1945.3125000000614,1888.0,0.0,67,3677.496000000045
209,Brick,0.435,0.375,0.19,241.584,1225.0000000002437,1971.0,0.0,69,3803.295999999983
210,Concrete,0.41,0.42,0.17,242.704,1422.9166666665233,1887.0,0.0,69,3802.871999999974
211,Brick,0.46,0.41,0.13,243.808,2460.9374999991783,1876.0,0.0,67,3698.1600000000503
212,Concrete,0.325,0.44,0.235,244.88,,2006.0,0.0,69,3833.975999999976
213,Concrete,0.325,0.42,0.255,246.064,1793.7500000002792,1811.0,0.0,71,3957.8239999999
214,Concrete,0.315,0.45,0.235,247.152,1067.708333333293,2007.0,0.0,69,3848.023999999975
215,Concrete,0.365,0.385,0.25,248.24,1265.6250000001394,1918.0,0.0,71,3929.784000000016
216,Concrete,0.335,0.455,0.21,249.408,972.9166666665842,1943.0,0.0,73,4033.1280000000625
217,Concrete,0.31,0.47,0.22,250.592,824.999999999982,1791.0,0.0,74,4152.448000000029
218,Concrete,0.295,0.44,0.265,251.84,1193.7500000002672,1845.0,0.0,82,4630.488000000091
219,Concrete,0.17,0.53,0.3,253.296,944.196428571312,1660.0,0.0,99,5830.815999999932
220,Concrete,0.255,0.525,0.22,255.232,482.29166666666436,1719.0,0.0,714,46794.824000000066
221,Concrete,0.255,0.405,0.34,266.272,239.58333333332425,1928.0,0.0,64,4242.416000000166
222,Concrete,0.405,0.415,0.18,267.024,893.7500000000846,1733.0,0.0,68,3756.600000000007
223,Brick,0.485,0.415,0.1,268.144,1509.3749999998258,1866.0,0.0,66,3621.768000000091
224,Concrete,0.38,0.475,0.145,269.2,1018.7500000000828,1849.0,0.0,66,3684.488000000083
225,Concrete,0.35,0.445,0.205,270.272,1121.0937500000264,1995.0,0.0,69,3822.9840000000936
226,Concrete,0.38,0.48,0.14,271.36,1632.812500000572,1916.0,0.0,66,3629.167999999843
227,Concrete,0.36,0.44,0.2,272.448,1682.2916666664225,1823.0,0.0,71,3919.0880000000193
228,Brick,0.385,0.36,0.255,273.568,1637.4999999991624,2028.0,0.0,72,3970.6879999998605
229,Concrete,0.35,0.38,0.27,274.72,1378.125000000115,1958.0,0.0,72,3949.1439999998715
230,Concrete,0.34,0.455,0.205,275.888,1506.2499999992294,1968.0,0.0,71,3998.336000000011
231,Concrete,0.345,0.44,0.215,277.008,1196.8749999994739,1830.0,0.0,71,3934.5280000000166
232,Concrete,0.38,0.405,0.215,278.144,1092.261904762025,1891.0,0.0,70,3879.311999999938
233,Concrete,0.39,0.43,0.18,279.264,1206.2500000001955,1823.0,0.0,70,3902.3999999999373
234,Brick,0.425,0.395,0.18,280.368,1000.00000000011,1840.0,0.0,70,3879.8719999999266
235,Concrete,0.365,0.41,0.225,281.488,1278.5714285717327,1853.0,0.0,70,3900.2719999999335
236,Concrete,0.375,0.42,0.205,282.608,1285.9374999998604,1839.0,0.0,71,3952.584000000015
237,Concrete,0.415,0.44,0.145,283.76,1385.9374999998804,1722.0,0.0,67,3749.288000000185
238,Concrete,0.33,0.39,0.28,284.864,1786.4583333318224,1943.0,0.0,73,4068.288000000174
239,Concrete,0.41,0.44,0.15,286.016,2869.791666667659,1720.0,0.0,66,3602.8320000000886
240,Concrete,0.365,0.405,0.23,287.104,1285.416666666772,2039.0,0.0,73,4112.711999999943
241,Concrete,0.34,0.45,0.21,288.224,1229.166666666435,2062.0,0.0,72,4028.743999999862
242,Concrete,0.435,0.46,0.105,289.36,1531.2499999999418,1825.0,0.0,67,3707.3039999999264
243,Concrete,0.35,0.435,0.215,290.448,1979.1666666663418,1872.0,0.0,71,3896.5040000000167
244,Concrete,0.34,0.435,0.225,291.552,580.3571428576979,2067.0,0.0,70,3905.9840000001745
245,Brick,0.36,0.345,0.295,292.672,937.5000000004086,1993.0,0.0,71,3890.808000000031
246,Concrete,0.355,0.42,0.225,293.824,1424.4791666663282,1937.0,0.0,69,3747.2479999998536
247,Concrete,0.34,0.445,0.215,294.944,,2020.0,0.0,70,3870.031999999935
248,Concrete,0.32,0.465,0.215,296.064,1225.0000000002437,1938.0,0.0,71,3962.5680000000225
249,Concrete,0.305,0.495,0.2,297.2,1027.3437499998668,1858.0,0.0,71,3966.735999999784
250,Concrete,0.36,0.405,0.235,298.352,1296.8749999995957,1869.0,0.0,72,4020.5760000001
251,Brick,0.395,0.375,0.23,299.488,1315.1041666670656,1966.0,0.0,72,4021.8960000001057
252,Concrete,0.37,0.415,0.215,300.656,1350.0000000002685,1898.0,0.0,71,3954.3519999997734
253,Concrete,0.345,0.405,0.25,301.808,1241.666666666778,1983.0,0.0,74,4167.60000000003
254,Concrete,0.315,0.47,0.215,302.976,894.5312500000222,1931.0,0.0,74,4152.232000000021
255,Concrete,0.39,0.415,0.195,304.144,1057.2916666666265,1968.0,0.0,71,3973.752000000022
256,Brick,0.415,0.36,0.225,305.296,1197.6562500001965,1905.0,0.0,71,3953.6880000000147
257,Concrete,0.36,0.405,0.235,306.448,940.6249999996287,1893.0,0.0,73,4095.376000000183
258,Concrete,0.28,0.445,0.275,307.584,872.3214285712658,1970.0,0.0,72,4044.368000000102
259,Concrete,0.3,0.42,0.28,308.752,1634.3750000006416,1874.0,0.0,71,3984.096000000024
