sole_id,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,magn_x,magn_y,magn_z,pressure_01,pressure_02,pressure_03,pressure_04,pressure_05,pressure_06,pressure_07,pressure_08,pressure_09,pressure_10,pressure_11,pressure_12,corrupt,compact ground
1,1778968591552,-1062,-1579,15783,4878369,357967,419053,0,0,0,658,655,261,530,561,489,299,232,464,301,217,596,0,
2,1778968591552,-47,-1229,22129,-6967528,1154535,1387885,0,0,0,365,324,287,280,234,327,297,235,269,273,345,266,0,
1,1778968591568,-2421,-2483,18143,5728694,332310,570548,0,0,0,627,627,280,511,544,489,309,242,471,271,210,544,0,
2,1778968591568,-1330,-5159,25651,-6971194,1254717,1142317,0,0,0,361,329,284,279,239,324,297,233,269,274,348,263,0,
1,1778968591584,-4532,-3177,23565,6625444,240680,803898,0,0,0,574,573,278,453,507,452,305,216,442,254,193,496,0,
2,1778968591584,-2967,-10787,28379,-7021285,1065348,801455,0,0,0,354,342,276,285,264,326,301,244,271,271,365,254,0,
1,1778968591600,-8260,-3785,29399,7498981,102625,1197295,0,0,0,506,504,250,392,443,406,310,212,411,252,194,455,0,
2,1778968591600,-4115,-20234,29494,-6878342,799011,574213,0,0,0,347,315,277,280,231,334,310,234,278,269,341,256,0,
1,1778968591616,-10457,-3374,33055,8351749,-290771,1976759,0,0,0,438,439,264,328,323,350,357,216,383,248,223,397,0,
2,1778968591616,-4087,-31777,28355,-6327342,500909,378736,0,0,0,353,315,275,277,232,338,319,237,282,264,337,256,0,
1,1778968591632,-7858,2158,36348,8979719,-554665,3214372,0,0,0,461,388,305,306,257,344,393,224,364,279,297,371,0,
2,1778968591632,-1517,-43522,23034,-5026199,117286,-85521,0,0,0,359,315,271,280,231,333,322,237,285,276,347,258,0,
1,1778968591648,-6269,12950,29863,8407949,834441,3886324,0,0,0,455,398,301,303,258,347,386,224,364,278,291,362,0,
2,1778968591648,114,-49092,16300,-3200933,91629,-768468,0,0,0,357,313,270,276,226,331,322,230,286,278,347,257,0,
1,1778968591664,-9102,20564,19870,5082398,2711019,2993239,0,0,0,442,406,287,296,263,331,383,223,356,289,294,370,0,
2,1778968591664,-3326,-48475,12653,-1105666,353080,-631634,0,0,0,354,305,275,279,228,323,325,217,277,275,306,248,0,
1,1778968591680,-10117,17975,16960,-1006705,1742187,321315,0,0,0,447,408,288,300,263,329,397,235,361,280,291,378,0,
2,1778968591680,-5417,-45929,12735,769690,426383,428827,0,0,0,344,300,309,260,204,319,318,403,284,258,462,240,0,
1,1778968591696,-6097,11581,14390,-3516140,752585,-1442863,0,0,0,448,404,290,296,262,330,401,245,363,278,293,377,0,
2,1778968591696,-2354,-27886,18401,2636494,62308,1048244,0,0,0,342,280,259,276,211,310,426,532,278,338,579,239,0,
1,1778968591712,-4594,8982,10112,-3017674,862541,-2068389,0,0,0,445,403,290,294,267,331,400,246,364,281,300,377,0,
